path,name,size,mtime
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\002-rpa-clipboard-adv.robot,002-rpa-clipboard-adv.robot,1225,1592297032.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\files.csv,files.csv,1247,1622420500.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\geckodriver.log,geckodriver.log,2598,1622418880.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\graph_008-rpa-task.svg,graph_008-rpa-task.svg,5085,1592299468.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\jj.docx,jj.docx,11308,1622419380.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\log.html,log.html,596601,1653908101.1011074
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\my_new_excel.xlsx,my_new_excel.xlsx,30141,1653908100.1681046
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\old.docx,old.docx,11308,1622419380.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\prices.pdf,prices.pdf,88207,1622422318.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\report.html,report.html,234729,1653908101.1161065
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\result.pdf,result.pdf,1158,1622422448.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\screenshot-1592296818-page.png,screenshot-1592296818-page.png,49161,1592296820.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\screenshot-1622418855-page.png,screenshot-1622418855-page.png,65362,1622418858.0
C:\dev\z-work\tta-academy\class\robot-0530\day2\06-rpa\selenium-screenshot-1.png,selenium-screenshot-1.png,47749,1622418878.0
